cellID	cellType	SubjectName
cell_777	cell_type_1	Mix_7
cell_778	cell_type_1	Mix_8
cell_779	cell_type_1	Mix_9
cell_780	cell_type_1	Mix_10
cell_781	cell_type_1	Mix_1
cell_782	cell_type_1	Mix_2
cell_783	cell_type_1	Mix_3
cell_784	cell_type_1	Mix_4
cell_785	cell_type_1	Mix_5
cell_786	cell_type_1	Mix_6
cell_787	cell_type_1	Mix_7
cell_788	cell_type_1	Mix_8
cell_789	cell_type_1	Mix_9
cell_790	cell_type_1	Mix_10
cell_791	cell_type_1	Mix_1
cell_792	cell_type_1	Mix_2
cell_793	cell_type_1	Mix_3
cell_794	cell_type_1	Mix_4
cell_795	cell_type_1	Mix_5
cell_796	cell_type_1	Mix_6
cell_797	cell_type_1	Mix_7
cell_798	cell_type_1	Mix_8
cell_799	cell_type_1	Mix_9
cell_800	cell_type_1	Mix_10
cell_801	cell_type_1	Mix_1
cell_802	cell_type_1	Mix_2
cell_803	cell_type_1	Mix_3
cell_804	cell_type_1	Mix_4
cell_805	cell_type_1	Mix_5
cell_806	cell_type_1	Mix_6
cell_807	cell_type_1	Mix_7
cell_808	cell_type_1	Mix_8
cell_809	cell_type_1	Mix_9
cell_810	cell_type_1	Mix_10
cell_811	cell_type_1	Mix_1
cell_812	cell_type_1	Mix_2
cell_813	cell_type_1	Mix_3
cell_814	cell_type_1	Mix_4
cell_815	cell_type_1	Mix_5
cell_816	cell_type_1	Mix_6
cell_817	cell_type_1	Mix_7
cell_818	cell_type_1	Mix_8
cell_819	cell_type_1	Mix_9
cell_820	cell_type_1	Mix_10
cell_821	cell_type_1	Mix_1
cell_822	cell_type_1	Mix_2
cell_823	cell_type_1	Mix_3
cell_824	cell_type_1	Mix_4
cell_825	cell_type_1	Mix_5
cell_826	cell_type_1	Mix_6
cell_827	cell_type_1	Mix_7
cell_828	cell_type_1	Mix_8
cell_829	cell_type_1	Mix_9
cell_830	cell_type_1	Mix_10
cell_831	cell_type_1	Mix_1
cell_832	cell_type_1	Mix_2
cell_833	cell_type_1	Mix_3
cell_834	cell_type_1	Mix_4
cell_835	cell_type_1	Mix_5
cell_836	cell_type_1	Mix_6
cell_837	cell_type_1	Mix_7
cell_838	cell_type_1	Mix_8
cell_839	cell_type_1	Mix_9
cell_840	cell_type_1	Mix_10
cell_841	cell_type_1	Mix_1
cell_842	cell_type_1	Mix_2
cell_843	cell_type_1	Mix_3
cell_844	cell_type_1	Mix_4
cell_845	cell_type_1	Mix_5
cell_846	cell_type_1	Mix_6
cell_847	cell_type_1	Mix_7
cell_848	cell_type_1	Mix_8
cell_849	cell_type_1	Mix_9
cell_850	cell_type_1	Mix_10
cell_851	cell_type_1	Mix_1
cell_852	cell_type_1	Mix_2
cell_853	cell_type_1	Mix_3
cell_854	cell_type_1	Mix_4
cell_855	cell_type_1	Mix_5
cell_856	cell_type_1	Mix_6
cell_857	cell_type_1	Mix_7
cell_858	cell_type_1	Mix_8
cell_859	cell_type_1	Mix_9
cell_860	cell_type_1	Mix_10
cell_861	cell_type_1	Mix_1
cell_862	cell_type_1	Mix_2
cell_863	cell_type_1	Mix_3
cell_864	cell_type_1	Mix_4
cell_865	cell_type_1	Mix_5
cell_866	cell_type_1	Mix_6
cell_867	cell_type_1	Mix_7
cell_868	cell_type_1	Mix_8
cell_869	cell_type_1	Mix_9
cell_870	cell_type_1	Mix_10
cell_871	cell_type_1	Mix_1
cell_872	cell_type_1	Mix_2
cell_873	cell_type_1	Mix_3
cell_874	cell_type_1	Mix_4
cell_875	cell_type_1	Mix_5
cell_876	cell_type_1	Mix_6
cell_877	cell_type_1	Mix_7
cell_878	cell_type_1	Mix_8
cell_879	cell_type_1	Mix_9
cell_880	cell_type_1	Mix_10
cell_881	cell_type_1	Mix_1
cell_882	cell_type_1	Mix_2
cell_883	cell_type_1	Mix_3
cell_884	cell_type_1	Mix_4
cell_885	cell_type_1	Mix_5
cell_886	cell_type_1	Mix_6
cell_887	cell_type_1	Mix_7
cell_888	cell_type_1	Mix_8
cell_889	cell_type_1	Mix_9
cell_890	cell_type_1	Mix_10
cell_891	cell_type_1	Mix_1
cell_892	cell_type_1	Mix_2
cell_893	cell_type_1	Mix_3
cell_894	cell_type_1	Mix_4
cell_895	cell_type_1	Mix_5
cell_896	cell_type_1	Mix_6
cell_897	cell_type_1	Mix_7
cell_898	cell_type_1	Mix_8
cell_899	cell_type_1	Mix_9
cell_900	cell_type_1	Mix_10
cell_901	cell_type_1	Mix_1
cell_902	cell_type_1	Mix_2
cell_903	cell_type_1	Mix_3
cell_904	cell_type_1	Mix_4
cell_905	cell_type_1	Mix_5
cell_906	cell_type_1	Mix_6
cell_907	cell_type_1	Mix_7
cell_908	cell_type_1	Mix_8
cell_909	cell_type_1	Mix_9
cell_910	cell_type_1	Mix_10
cell_911	cell_type_1	Mix_1
cell_912	cell_type_1	Mix_2
cell_913	cell_type_1	Mix_3
cell_914	cell_type_1	Mix_4
cell_915	cell_type_1	Mix_5
cell_916	cell_type_1	Mix_6
cell_917	cell_type_1	Mix_7
cell_918	cell_type_1	Mix_8
cell_919	cell_type_1	Mix_9
cell_920	cell_type_1	Mix_10
cell_921	cell_type_1	Mix_1
cell_922	cell_type_1	Mix_2
cell_923	cell_type_1	Mix_3
cell_924	cell_type_1	Mix_4
cell_925	cell_type_1	Mix_5
cell_926	cell_type_1	Mix_6
cell_927	cell_type_1	Mix_7
cell_928	cell_type_1	Mix_8
cell_929	cell_type_1	Mix_9
cell_930	cell_type_1	Mix_10
cell_931	cell_type_1	Mix_1
cell_932	cell_type_1	Mix_2
cell_933	cell_type_1	Mix_3
cell_934	cell_type_1	Mix_4
cell_935	cell_type_1	Mix_5
cell_936	cell_type_1	Mix_6
cell_937	cell_type_1	Mix_7
cell_938	cell_type_1	Mix_8
cell_939	cell_type_1	Mix_9
cell_940	cell_type_1	Mix_10
cell_941	cell_type_1	Mix_1
cell_942	cell_type_1	Mix_2
cell_943	cell_type_1	Mix_3
cell_944	cell_type_1	Mix_4
cell_945	cell_type_1	Mix_5
cell_946	cell_type_1	Mix_6
cell_947	cell_type_1	Mix_7
cell_948	cell_type_1	Mix_8
cell_949	cell_type_1	Mix_9
cell_950	cell_type_1	Mix_10
cell_951	cell_type_1	Mix_1
cell_952	cell_type_1	Mix_2
cell_953	cell_type_1	Mix_3
cell_954	cell_type_1	Mix_4
cell_955	cell_type_1	Mix_5
cell_956	cell_type_1	Mix_6
cell_957	cell_type_1	Mix_7
cell_958	cell_type_1	Mix_8
cell_959	cell_type_1	Mix_9
cell_960	cell_type_1	Mix_10
cell_961	cell_type_1	Mix_1
cell_962	cell_type_1	Mix_2
cell_963	cell_type_1	Mix_3
cell_964	cell_type_1	Mix_4
cell_965	cell_type_1	Mix_5
cell_966	cell_type_1	Mix_6
cell_967	cell_type_1	Mix_7
cell_968	cell_type_1	Mix_8
cell_969	cell_type_1	Mix_9
cell_970	cell_type_1	Mix_10
cell_971	cell_type_1	Mix_1
cell_972	cell_type_1	Mix_2
cell_973	cell_type_1	Mix_3
cell_974	cell_type_1	Mix_4
cell_975	cell_type_1	Mix_5
cell_976	cell_type_1	Mix_6
cell_977	cell_type_1	Mix_7
cell_978	cell_type_1	Mix_8
cell_979	cell_type_1	Mix_9
cell_980	cell_type_1	Mix_10
cell_981	cell_type_1	Mix_1
cell_982	cell_type_1	Mix_2
cell_983	cell_type_1	Mix_3
cell_984	cell_type_1	Mix_4
cell_985	cell_type_1	Mix_5
cell_986	cell_type_1	Mix_6
cell_987	cell_type_1	Mix_7
cell_988	cell_type_1	Mix_8
cell_989	cell_type_1	Mix_9
cell_990	cell_type_1	Mix_10
cell_991	cell_type_1	Mix_1
cell_992	cell_type_1	Mix_2
cell_993	cell_type_1	Mix_3
cell_994	cell_type_1	Mix_4
cell_995	cell_type_1	Mix_5
cell_996	cell_type_1	Mix_6
cell_997	cell_type_1	Mix_7
cell_998	cell_type_1	Mix_8
cell_999	cell_type_1	Mix_9
cell_1000	cell_type_1	Mix_10
cell_1001	cell_type_2	Mix_1
cell_1002	cell_type_2	Mix_2
cell_1003	cell_type_2	Mix_3
cell_1004	cell_type_2	Mix_4
cell_1005	cell_type_2	Mix_5
cell_1006	cell_type_2	Mix_6
cell_1007	cell_type_2	Mix_7
cell_1008	cell_type_2	Mix_8
cell_1009	cell_type_2	Mix_9
cell_1010	cell_type_2	Mix_10
cell_1011	cell_type_2	Mix_1
cell_1012	cell_type_2	Mix_2
cell_1013	cell_type_2	Mix_3
cell_1014	cell_type_2	Mix_4
cell_1015	cell_type_2	Mix_5
cell_1016	cell_type_2	Mix_6
cell_1017	cell_type_2	Mix_7
cell_1018	cell_type_2	Mix_8
cell_1019	cell_type_2	Mix_9
cell_1020	cell_type_2	Mix_10
cell_1021	cell_type_2	Mix_1
cell_1022	cell_type_2	Mix_2
cell_1023	cell_type_2	Mix_3
cell_1024	cell_type_2	Mix_4
cell_1025	cell_type_2	Mix_5
cell_1026	cell_type_2	Mix_6
cell_1027	cell_type_2	Mix_7
cell_1028	cell_type_2	Mix_8
cell_1029	cell_type_2	Mix_9
cell_1030	cell_type_2	Mix_10
cell_1031	cell_type_2	Mix_1
cell_1032	cell_type_2	Mix_2
cell_1033	cell_type_2	Mix_3
cell_1034	cell_type_2	Mix_4
cell_1035	cell_type_2	Mix_5
cell_1036	cell_type_2	Mix_6
cell_1037	cell_type_2	Mix_7
cell_1038	cell_type_2	Mix_8
cell_1039	cell_type_2	Mix_9
cell_1040	cell_type_2	Mix_10
cell_1041	cell_type_2	Mix_1
cell_1042	cell_type_2	Mix_2
cell_1043	cell_type_2	Mix_3
cell_1044	cell_type_2	Mix_4
cell_1045	cell_type_2	Mix_5
cell_1046	cell_type_2	Mix_6
cell_1047	cell_type_2	Mix_7
cell_1048	cell_type_2	Mix_8
cell_1049	cell_type_2	Mix_9
cell_1050	cell_type_2	Mix_10
cell_1051	cell_type_2	Mix_1
cell_1052	cell_type_2	Mix_2
cell_1053	cell_type_2	Mix_3
cell_1054	cell_type_2	Mix_4
cell_1055	cell_type_2	Mix_5
cell_1056	cell_type_2	Mix_6
cell_1057	cell_type_2	Mix_7
cell_1058	cell_type_2	Mix_8
cell_1059	cell_type_2	Mix_9
cell_1060	cell_type_2	Mix_10
cell_1061	cell_type_2	Mix_1
cell_1062	cell_type_2	Mix_2
cell_1063	cell_type_2	Mix_3
cell_1064	cell_type_2	Mix_4
cell_1065	cell_type_2	Mix_5
cell_1066	cell_type_2	Mix_6
cell_1067	cell_type_2	Mix_7
cell_1068	cell_type_2	Mix_8
cell_1069	cell_type_2	Mix_9
cell_1070	cell_type_2	Mix_10
cell_1071	cell_type_2	Mix_1
cell_1072	cell_type_2	Mix_2
cell_1073	cell_type_2	Mix_3
cell_1074	cell_type_2	Mix_4
cell_1075	cell_type_2	Mix_5
cell_1076	cell_type_2	Mix_6
cell_1077	cell_type_2	Mix_7
cell_1078	cell_type_2	Mix_8
cell_1079	cell_type_2	Mix_9
cell_1080	cell_type_2	Mix_10
cell_1081	cell_type_2	Mix_1
cell_1082	cell_type_2	Mix_2
cell_1083	cell_type_2	Mix_3
cell_1084	cell_type_2	Mix_4
cell_1085	cell_type_2	Mix_5
cell_1086	cell_type_2	Mix_6
cell_1087	cell_type_2	Mix_7
cell_1088	cell_type_2	Mix_8
cell_1089	cell_type_2	Mix_9
cell_1090	cell_type_2	Mix_10
cell_1091	cell_type_2	Mix_1
cell_1092	cell_type_2	Mix_2
cell_1093	cell_type_2	Mix_3
cell_1094	cell_type_2	Mix_4
cell_1095	cell_type_2	Mix_5
cell_1096	cell_type_2	Mix_6
cell_1097	cell_type_2	Mix_7
cell_1098	cell_type_2	Mix_8
cell_1099	cell_type_2	Mix_9
cell_1100	cell_type_2	Mix_10
cell_1101	cell_type_2	Mix_1
cell_1102	cell_type_2	Mix_2
cell_1103	cell_type_2	Mix_3
cell_1104	cell_type_2	Mix_4
cell_1105	cell_type_2	Mix_5
cell_1106	cell_type_2	Mix_6
cell_1107	cell_type_2	Mix_7
cell_1108	cell_type_2	Mix_8
cell_1109	cell_type_2	Mix_9
cell_1110	cell_type_2	Mix_10
cell_1111	cell_type_2	Mix_1
cell_1112	cell_type_2	Mix_2
cell_1113	cell_type_2	Mix_3
cell_1114	cell_type_2	Mix_4
cell_1115	cell_type_2	Mix_5
cell_1116	cell_type_2	Mix_6
cell_1117	cell_type_2	Mix_7
cell_1118	cell_type_2	Mix_8
cell_1119	cell_type_2	Mix_9
cell_1120	cell_type_2	Mix_10
cell_1121	cell_type_2	Mix_1
cell_1122	cell_type_2	Mix_2
cell_1123	cell_type_2	Mix_3
cell_1124	cell_type_2	Mix_4
cell_1125	cell_type_2	Mix_5
cell_1126	cell_type_2	Mix_6
cell_1127	cell_type_2	Mix_7
cell_1128	cell_type_2	Mix_8
cell_1129	cell_type_2	Mix_9
cell_1130	cell_type_2	Mix_10
cell_1131	cell_type_2	Mix_1
cell_1132	cell_type_2	Mix_2
cell_1133	cell_type_2	Mix_3
cell_1134	cell_type_2	Mix_4
cell_1135	cell_type_2	Mix_5
cell_1136	cell_type_2	Mix_6
cell_1137	cell_type_2	Mix_7
cell_1138	cell_type_2	Mix_8
cell_1139	cell_type_2	Mix_9
cell_1140	cell_type_2	Mix_10
cell_1141	cell_type_2	Mix_1
cell_1142	cell_type_2	Mix_2
cell_1143	cell_type_2	Mix_3
cell_1144	cell_type_2	Mix_4
cell_1145	cell_type_2	Mix_5
cell_1146	cell_type_2	Mix_6
cell_1147	cell_type_2	Mix_7
cell_1148	cell_type_2	Mix_8
cell_1149	cell_type_2	Mix_9
cell_1150	cell_type_2	Mix_10
cell_1151	cell_type_2	Mix_1
cell_1152	cell_type_2	Mix_2
cell_1153	cell_type_2	Mix_3
cell_1154	cell_type_2	Mix_4
cell_1155	cell_type_2	Mix_5
cell_1156	cell_type_2	Mix_6
cell_1157	cell_type_2	Mix_7
cell_1158	cell_type_2	Mix_8
cell_1159	cell_type_2	Mix_9
cell_1160	cell_type_2	Mix_10
cell_1161	cell_type_2	Mix_1
cell_1162	cell_type_2	Mix_2
cell_1163	cell_type_2	Mix_3
cell_1164	cell_type_2	Mix_4
cell_1165	cell_type_2	Mix_5
cell_1166	cell_type_2	Mix_6
cell_1167	cell_type_2	Mix_7
cell_1168	cell_type_2	Mix_8
cell_1169	cell_type_2	Mix_9
cell_1170	cell_type_2	Mix_10
cell_1171	cell_type_2	Mix_1
cell_1172	cell_type_2	Mix_2
cell_1173	cell_type_2	Mix_3
cell_1174	cell_type_2	Mix_4
cell_1175	cell_type_2	Mix_5
cell_1176	cell_type_2	Mix_6
cell_1177	cell_type_2	Mix_7
cell_1178	cell_type_2	Mix_8
cell_1179	cell_type_2	Mix_9
cell_1180	cell_type_2	Mix_10
cell_1181	cell_type_2	Mix_1
cell_1182	cell_type_2	Mix_2
cell_1183	cell_type_2	Mix_3
cell_1184	cell_type_2	Mix_4
cell_1185	cell_type_2	Mix_5
cell_1186	cell_type_2	Mix_6
cell_1187	cell_type_2	Mix_7
cell_1188	cell_type_2	Mix_8
cell_1189	cell_type_2	Mix_9
cell_1190	cell_type_2	Mix_10
cell_1191	cell_type_2	Mix_1
cell_1192	cell_type_2	Mix_2
cell_1193	cell_type_2	Mix_3
cell_1194	cell_type_2	Mix_4
cell_1195	cell_type_2	Mix_5
cell_1196	cell_type_2	Mix_6
cell_1197	cell_type_2	Mix_7
cell_1198	cell_type_2	Mix_8
cell_1199	cell_type_2	Mix_9
cell_1200	cell_type_2	Mix_10
cell_1201	cell_type_2	Mix_1
cell_1202	cell_type_2	Mix_2
cell_1203	cell_type_2	Mix_3
cell_1204	cell_type_2	Mix_4
cell_1205	cell_type_2	Mix_5
cell_1206	cell_type_2	Mix_6
cell_1207	cell_type_2	Mix_7
cell_1208	cell_type_2	Mix_8
cell_1209	cell_type_2	Mix_9
cell_1210	cell_type_2	Mix_10
cell_1211	cell_type_2	Mix_1
cell_1212	cell_type_2	Mix_2
cell_1213	cell_type_2	Mix_3
cell_1214	cell_type_2	Mix_4
cell_1215	cell_type_2	Mix_5
cell_1216	cell_type_2	Mix_6
cell_1217	cell_type_2	Mix_7
cell_1218	cell_type_2	Mix_8
cell_1219	cell_type_2	Mix_9
cell_1220	cell_type_2	Mix_10
cell_1221	cell_type_2	Mix_1
cell_1222	cell_type_2	Mix_2
cell_1223	cell_type_2	Mix_3
cell_1224	cell_type_2	Mix_4
cell_1225	cell_type_2	Mix_5
cell_1226	cell_type_2	Mix_6
cell_1227	cell_type_2	Mix_7
cell_1228	cell_type_2	Mix_8
cell_1229	cell_type_2	Mix_9
cell_1230	cell_type_2	Mix_10
cell_1231	cell_type_2	Mix_1
cell_1232	cell_type_2	Mix_2
cell_1233	cell_type_2	Mix_3
cell_1234	cell_type_2	Mix_4
cell_1235	cell_type_2	Mix_5
cell_1236	cell_type_2	Mix_6
cell_1237	cell_type_2	Mix_7
cell_1238	cell_type_2	Mix_8
cell_1239	cell_type_2	Mix_9
cell_1240	cell_type_2	Mix_10
cell_1241	cell_type_2	Mix_1
cell_1242	cell_type_2	Mix_2
cell_1243	cell_type_2	Mix_3
cell_1244	cell_type_2	Mix_4
cell_1245	cell_type_2	Mix_5
cell_1246	cell_type_2	Mix_6
cell_1247	cell_type_2	Mix_7
cell_1248	cell_type_2	Mix_8
cell_1249	cell_type_2	Mix_9
cell_1250	cell_type_2	Mix_10
cell_1251	cell_type_2	Mix_1
cell_1252	cell_type_2	Mix_2
cell_1253	cell_type_2	Mix_3
cell_1254	cell_type_2	Mix_4
cell_1255	cell_type_2	Mix_5
cell_1256	cell_type_2	Mix_6
cell_1257	cell_type_2	Mix_7
cell_1258	cell_type_2	Mix_8
cell_1259	cell_type_2	Mix_9
cell_1260	cell_type_2	Mix_10
cell_1261	cell_type_2	Mix_1
cell_1262	cell_type_2	Mix_2
cell_1263	cell_type_2	Mix_3
cell_1264	cell_type_2	Mix_4
cell_1265	cell_type_2	Mix_5
cell_1266	cell_type_2	Mix_6
cell_1267	cell_type_2	Mix_7
cell_1268	cell_type_2	Mix_8
cell_1269	cell_type_2	Mix_9
cell_1270	cell_type_2	Mix_10
cell_1271	cell_type_2	Mix_1
cell_1272	cell_type_2	Mix_2
cell_1273	cell_type_2	Mix_3
cell_1274	cell_type_2	Mix_4
cell_1275	cell_type_2	Mix_5
cell_1276	cell_type_2	Mix_6
cell_1277	cell_type_2	Mix_7
cell_1278	cell_type_2	Mix_8
cell_1279	cell_type_2	Mix_9
cell_1280	cell_type_2	Mix_10
cell_1281	cell_type_2	Mix_1
cell_1282	cell_type_2	Mix_2
cell_1283	cell_type_2	Mix_3
cell_1284	cell_type_2	Mix_4
cell_1285	cell_type_2	Mix_5
cell_1286	cell_type_2	Mix_6
cell_1287	cell_type_2	Mix_7
cell_1288	cell_type_2	Mix_8
cell_1289	cell_type_2	Mix_9
cell_1290	cell_type_2	Mix_10
cell_1291	cell_type_2	Mix_1
cell_1292	cell_type_2	Mix_2
cell_1293	cell_type_2	Mix_3
cell_1294	cell_type_2	Mix_4
cell_1295	cell_type_2	Mix_5
cell_1296	cell_type_2	Mix_6
cell_1297	cell_type_2	Mix_7
cell_1298	cell_type_2	Mix_8
cell_1299	cell_type_2	Mix_9
cell_1300	cell_type_2	Mix_10
cell_1301	cell_type_2	Mix_1
cell_1302	cell_type_2	Mix_2
cell_1303	cell_type_2	Mix_3
cell_1304	cell_type_2	Mix_4
cell_1305	cell_type_2	Mix_5
cell_1306	cell_type_2	Mix_6
cell_1307	cell_type_2	Mix_7
cell_1308	cell_type_2	Mix_8
cell_1309	cell_type_2	Mix_9
cell_1310	cell_type_2	Mix_10
cell_1311	cell_type_2	Mix_1
cell_1312	cell_type_2	Mix_2
cell_1313	cell_type_2	Mix_3
cell_1314	cell_type_2	Mix_4
cell_1315	cell_type_2	Mix_5
cell_1316	cell_type_2	Mix_6
cell_1317	cell_type_2	Mix_7
cell_1318	cell_type_2	Mix_8
cell_1319	cell_type_2	Mix_9
cell_1320	cell_type_2	Mix_10
cell_1321	cell_type_2	Mix_1
cell_1322	cell_type_2	Mix_2
cell_1323	cell_type_2	Mix_3
cell_1324	cell_type_2	Mix_4
cell_1325	cell_type_2	Mix_5
cell_1326	cell_type_2	Mix_6
cell_1327	cell_type_2	Mix_7
cell_1328	cell_type_2	Mix_8
cell_1329	cell_type_2	Mix_9
cell_1330	cell_type_2	Mix_10
cell_1331	cell_type_2	Mix_1
cell_1332	cell_type_2	Mix_2
cell_1333	cell_type_2	Mix_3
cell_1334	cell_type_2	Mix_4
cell_1335	cell_type_2	Mix_5
cell_1336	cell_type_2	Mix_6
cell_1337	cell_type_2	Mix_7
cell_1338	cell_type_2	Mix_8
cell_1339	cell_type_2	Mix_9
cell_1340	cell_type_2	Mix_10
cell_1341	cell_type_2	Mix_1
cell_1342	cell_type_2	Mix_2
cell_1343	cell_type_2	Mix_3
cell_1344	cell_type_2	Mix_4
cell_1345	cell_type_2	Mix_5
cell_1346	cell_type_2	Mix_6
cell_1347	cell_type_2	Mix_7
cell_1348	cell_type_2	Mix_8
cell_1349	cell_type_2	Mix_9
cell_1350	cell_type_2	Mix_10
cell_1351	cell_type_2	Mix_1
cell_1352	cell_type_2	Mix_2
cell_1353	cell_type_2	Mix_3
cell_1354	cell_type_2	Mix_4
cell_1355	cell_type_2	Mix_5
cell_1356	cell_type_2	Mix_6
cell_1357	cell_type_2	Mix_7
cell_1358	cell_type_2	Mix_8
cell_1359	cell_type_2	Mix_9
cell_1360	cell_type_2	Mix_10
cell_1361	cell_type_2	Mix_1
cell_1362	cell_type_2	Mix_2
cell_1363	cell_type_2	Mix_3
cell_1364	cell_type_2	Mix_4
cell_1365	cell_type_2	Mix_5
cell_1366	cell_type_2	Mix_6
cell_1367	cell_type_2	Mix_7
cell_1368	cell_type_2	Mix_8
cell_1369	cell_type_2	Mix_9
cell_1370	cell_type_2	Mix_10
cell_1371	cell_type_2	Mix_1
cell_1372	cell_type_2	Mix_2
cell_1373	cell_type_2	Mix_3
cell_1374	cell_type_2	Mix_4
cell_1375	cell_type_2	Mix_5
cell_1376	cell_type_2	Mix_6
cell_1377	cell_type_2	Mix_7
cell_1378	cell_type_2	Mix_8
cell_1379	cell_type_2	Mix_9
cell_1380	cell_type_2	Mix_10
cell_1381	cell_type_2	Mix_1
cell_1382	cell_type_2	Mix_2
cell_1383	cell_type_2	Mix_3
cell_1384	cell_type_2	Mix_4
cell_1385	cell_type_2	Mix_5
cell_1386	cell_type_2	Mix_6
cell_1387	cell_type_2	Mix_7
cell_1388	cell_type_2	Mix_8
cell_1389	cell_type_2	Mix_9
cell_1390	cell_type_2	Mix_10
cell_1391	cell_type_2	Mix_1
cell_1392	cell_type_2	Mix_2
cell_1393	cell_type_2	Mix_3
cell_1394	cell_type_2	Mix_4
cell_1395	cell_type_2	Mix_5
cell_1396	cell_type_2	Mix_6
cell_1397	cell_type_2	Mix_7
cell_1398	cell_type_2	Mix_8
cell_1399	cell_type_2	Mix_9
cell_1400	cell_type_2	Mix_10
cell_1401	cell_type_2	Mix_1
cell_1402	cell_type_2	Mix_2
cell_1403	cell_type_2	Mix_3
cell_1404	cell_type_2	Mix_4
cell_1405	cell_type_2	Mix_5
cell_1406	cell_type_2	Mix_6
cell_1407	cell_type_2	Mix_7
cell_1408	cell_type_2	Mix_8
cell_1409	cell_type_2	Mix_9
cell_1410	cell_type_2	Mix_10
cell_1411	cell_type_2	Mix_1
cell_1412	cell_type_2	Mix_2
cell_1413	cell_type_2	Mix_3
cell_1414	cell_type_2	Mix_4
cell_1415	cell_type_2	Mix_5
cell_1416	cell_type_2	Mix_6
cell_1417	cell_type_2	Mix_7
cell_1418	cell_type_2	Mix_8
cell_1419	cell_type_2	Mix_9
cell_1420	cell_type_2	Mix_10
cell_1421	cell_type_2	Mix_1
cell_1422	cell_type_2	Mix_2
cell_1423	cell_type_2	Mix_3
cell_1424	cell_type_2	Mix_4
cell_1425	cell_type_2	Mix_5
cell_1426	cell_type_2	Mix_6
cell_1427	cell_type_2	Mix_7
cell_1428	cell_type_2	Mix_8
cell_1429	cell_type_2	Mix_9
cell_1430	cell_type_2	Mix_10
cell_1431	cell_type_2	Mix_1
cell_1432	cell_type_2	Mix_2
cell_1433	cell_type_2	Mix_3
cell_1434	cell_type_2	Mix_4
cell_1435	cell_type_2	Mix_5
cell_1436	cell_type_2	Mix_6
cell_1437	cell_type_2	Mix_7
cell_1438	cell_type_2	Mix_8
cell_1439	cell_type_2	Mix_9
cell_1440	cell_type_2	Mix_10
cell_1441	cell_type_2	Mix_1
cell_1442	cell_type_2	Mix_2
cell_1443	cell_type_2	Mix_3
cell_1444	cell_type_2	Mix_4
cell_1445	cell_type_2	Mix_5
cell_1446	cell_type_2	Mix_6
cell_1447	cell_type_2	Mix_7
cell_1448	cell_type_2	Mix_8
cell_1449	cell_type_2	Mix_9
cell_1450	cell_type_2	Mix_10
cell_1451	cell_type_2	Mix_1
cell_1452	cell_type_2	Mix_2
cell_1453	cell_type_2	Mix_3
cell_1454	cell_type_2	Mix_4
cell_1455	cell_type_2	Mix_5
cell_1456	cell_type_2	Mix_6
cell_1457	cell_type_2	Mix_7
cell_1458	cell_type_2	Mix_8
cell_1459	cell_type_2	Mix_9
cell_1460	cell_type_2	Mix_10
cell_1461	cell_type_2	Mix_1
cell_1462	cell_type_2	Mix_2
cell_1463	cell_type_2	Mix_3
cell_1464	cell_type_2	Mix_4
cell_1465	cell_type_2	Mix_5
cell_1466	cell_type_2	Mix_6
cell_1467	cell_type_2	Mix_7
cell_1468	cell_type_2	Mix_8
cell_1469	cell_type_2	Mix_9
cell_1470	cell_type_2	Mix_10
cell_1471	cell_type_2	Mix_1
cell_1472	cell_type_2	Mix_2
cell_1473	cell_type_2	Mix_3
cell_1474	cell_type_2	Mix_4
cell_1475	cell_type_2	Mix_5
cell_1476	cell_type_2	Mix_6
cell_1477	cell_type_2	Mix_7
cell_1478	cell_type_2	Mix_8
cell_1479	cell_type_2	Mix_9
cell_1480	cell_type_2	Mix_10
cell_1481	cell_type_2	Mix_1
cell_1482	cell_type_2	Mix_2
cell_1483	cell_type_2	Mix_3
cell_1484	cell_type_2	Mix_4
cell_1485	cell_type_2	Mix_5
cell_1486	cell_type_2	Mix_6
cell_1487	cell_type_2	Mix_7
cell_1488	cell_type_2	Mix_8
cell_1489	cell_type_2	Mix_9
cell_1490	cell_type_2	Mix_10
cell_1491	cell_type_2	Mix_1
cell_1492	cell_type_2	Mix_2
cell_1493	cell_type_2	Mix_3
cell_1494	cell_type_2	Mix_4
cell_1495	cell_type_2	Mix_5
cell_1496	cell_type_2	Mix_6
cell_1497	cell_type_2	Mix_7
cell_1498	cell_type_2	Mix_8
cell_1499	cell_type_2	Mix_9
cell_1500	cell_type_2	Mix_10
cell_1501	cell_type_2	Mix_1
cell_1502	cell_type_2	Mix_2
cell_1503	cell_type_2	Mix_3
cell_1504	cell_type_2	Mix_4
cell_1505	cell_type_2	Mix_5
cell_1506	cell_type_2	Mix_6
cell_1507	cell_type_2	Mix_7
cell_1508	cell_type_2	Mix_8
cell_1509	cell_type_2	Mix_9
cell_1510	cell_type_2	Mix_10
cell_1511	cell_type_2	Mix_1
cell_1512	cell_type_2	Mix_2
cell_1513	cell_type_2	Mix_3
cell_1514	cell_type_2	Mix_4
cell_1515	cell_type_2	Mix_5
cell_1516	cell_type_2	Mix_6
cell_1517	cell_type_2	Mix_7
cell_1518	cell_type_2	Mix_8
cell_1519	cell_type_2	Mix_9
cell_1520	cell_type_2	Mix_10
cell_1521	cell_type_2	Mix_1
cell_1522	cell_type_2	Mix_2
cell_1523	cell_type_2	Mix_3
